Name,PTS,Collage,Latitude,Longitude
Jimmy Butler,1301,Marquette University,43.03888115,-87.93158327046632
JJ Hickson,552,North Carolina State University,35.7714749,-78.6741935
JJ Redick,1277,Duke University,36.00015569999999,-78.94422972195878
Joakim Noah,485,University of Florida,29.6328837,-82.34901302237435
Jodie Meeks,663,University of Kentucky,38.026629099999994,-84.50472223185739
Joe Harris,136,University of Virginia,38.0410576,-78.50550841214823
Joe Johnson,1154,University of Arkansas,36.09352375,-94.17708979491738
Joel Anthony,87,"University of Nevada, Las Vegas",36.099448100000004,-115.14422048990326
Joey Dorsey,184,University of Memphis,35.1189387,-89.93721959965887
John Henson,470,University of North Carolina,35.90503535,-79.04775326525107
John Jenkins,135,Vanderbilt University,36.14380105,-86.80281889095295
John Lucas III,98,Oklahoma State University,36.128476750000004,-97.08398055028107
Johnny O'Bryant III,100,Louisiana State University,30.405761849999998,-91.18597450265686
Jon Leuer,286,University of Wisconsin,43.210308,-90.296735
Jordan Adams,94,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Jordan Clarkson,703,University of Missouri,38.93641465,-92.32970301784542
Jordan Farmar,167,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Jordan Hamilton,38,University of Texas at Austin,30.2851494,-97.73393515146053
Jordan Hill,841,University of Arizona,32.23563985,-110.9517440773026
Jorge Gutierrez,53,University of California,37.875499649999995,-122.23906851395179
Josh McRoberts,72,Duke University,36.00015569999999,-78.94422972195878
Jrue Holiday,592,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Julius Randle,2,University of Kentucky,38.026629099999994,-84.50472223185739
Justin Hamilton,219,Louisiana State University,30.405761849999998,-91.18597450265686
Justin Holiday,254,University of Washington,47.65566435,-122.30270718903485
Kalin Lucas,0,Michigan State University,42.70237935,-84.48038686520441
Kawhi Leonard,1057,San Diego State University,32.7761529,-117.07330366921886
Kelly Olynyk,656,Gonzaga University,47.666263400000005,-117.4030665711268
Kemba Walker,1075,University of Connecticut,41.82175755,-72.24277535505323
Kendall Marshall,118,University of North Carolina,35.90503535,-79.04775326525107
Kenneth Faried,946,Morehead State University,38.1867483,-83.4332396
Kent Bazemore,390,Old Dominion University,36.8862699,-76.30972478839735
Kentavious Caldwell-Pope,1043,University of Georgia,33.9404278,-83.37304904988295
Kenyon Martin,20,University of Cincinnati,39.1318613,-84.51576195582436
Kevin Durant,686,University of Texas at Austin,30.2851494,-97.73393515146053
Kevin Love,1228,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Kevin Martin,779,Western Carolina University,35.3100146,-83.199040215329
Khris Middleton,1055,Texas A&M University,29.5249639,-95.2364404
Kirk Hinrich,377,University of Kansas,38.953491799999995,-95.26308879955823
KJ McDaniels,487,Clemson University,34.66869155,-82.83743475607795
Klay Thompson,1668,Washington State University,46.7337716,-117.14980348311619
Kosta Koufos,419,Ohio State University,40.7988105,-82.5782294
Kris Humphries,509,University of Minnesota,44.7361751,-93.07035148621151
Kyle Anderson,74,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Kyle Korver,911,Creighton University,41.265856549999995,-95.94505553516464
Kyle Lowry,1244,Villanova University,40.0367774,-75.34202332002798
Kyle O'Quinn,294,Norfolk State University,36.8482215,-76.26296420861456
Kyle Singler,480,Duke University,36.00015569999999,-78.94422972195878
Kyrie Irving,1628,Duke University,36.00015569999999,-78.94422972195878
LaMarcus Aldridge,1661,University of Texas at Austin,30.2851494,-97.73393515146053
Lance Stephenson,501,University of Cincinnati,39.1318613,-84.51576195582436
Landry Fields,46,Stanford University,37.431313849999995,-122.16936535498309
Langston Galloway,533,Saint Joseph's University,39.99652965,-75.24151166935775
Larry Drew II,46,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Lavoy Allen,315,Temple University,39.981188,-75.15628280757346
Lester Hudson,18,University of Tennessee at Martin,36.3414523,-88.8642273
Lorenzo Brown,122,North Carolina State University,35.7714749,-78.6741935
Lou Amundson,259,"University of Nevada, Las Vegas",36.099448100000004,-115.14422048990326
Luc Mbah a Moute,660,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Luke Babbitt,256,"University of Nevada, Reno",39.5442688,-119.81631051527071
Luke Ridnour,188,University of Oregon,44.04441965,-123.07176029673084
Luol Deng,1007,Duke University,36.00015569999999,-78.94422972195878
Malcolm Thomas,45,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Marcus Morris,845,University of Kansas,38.953491799999995,-95.26308879955823
Marcus Smart,523,Oklahoma State University,36.128476750000004,-97.08398055028107
Mario Chalmers,813,University of Kansas,38.953491799999995,-95.26308879955823
Markel Brown,216,Oklahoma State University,36.128476750000004,-97.08398055028107
Markieff Morris,1258,University of Kansas,38.953491799999995,-95.26308879955823
Marreese Speights,791,University of Florida,29.6328837,-82.34901302237435
Marvin Williams,577,University of North Carolina,35.90503535,-79.04775326525107
Mason Plumlee,717,Duke University,36.00015569999999,-78.94422972195878
Matt Barnes,764,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Matt Bonner,264,University of Florida,29.6328837,-82.34901302237435
Matthew Dellavedova,319,Saint Mary's College of California,37.8409597,-122.109459
Maurice Harkless,158,St. John's University,25.227070050000002,121.44971349419836
Meyers Leonard,327,University of Illinois at Urbana-Champaign,40.090629199999995,-88.17641799034426
Michael Beasley,212,Kansas State University,39.20883,-96.58845116318602
Michael Carter-Williams,966,Syracuse University,43.017112850000004,-76.11855360009726
Michael Kidd-Gilchrist,598,University of Kentucky,38.026629099999994,-84.50472223185739
Mike Conley,1107,Ohio State University,40.7988105,-82.5782294
Mike Dunleavy,595,Duke University,36.00015569999999,-78.94422972195878
Mike Miller,109,University of Florida,29.6328837,-82.34901302237435
Mike Muscala,197,Bucknell University,40.9515356,-76.8879603368278
Mike Scott,529,University of Virginia,38.0410576,-78.50550841214823
Miles Plumlee,294,Duke University,36.00015569999999,-78.94422972195878
Mitch McGary,201,University of Michigan,42.2942142,-83.71003893509601
Mo Williams,964,University of Alabama,33.21208215,-87.53967345126999
Nazr Mohammed,27,University of Kentucky,38.026629099999994,-84.50472223185739
Nerlens Noel,744,University of Kentucky,38.026629099999994,-84.50472223185739
Nick Calathes,243,University of Florida,29.6328837,-82.34901302237435
Nick Collison,273,University of Kansas,38.953491799999995,-95.26308879955823
Nick Johnson,74,University of Arizona,32.23563985,-110.9517440773026
Nik Stauskas,319,University of Michigan,42.2942142,-83.71003893509601
Nikola Vucevic,1428,University of Southern California,34.02186895,-118.285857923125
Noah Vonleh,83,Indiana University,39.1802358,-86.50935262731483
Norris Cole,573,Cleveland State University,41.50258335,-81.67508708526213
O.J. Mayo,806,University of Southern California,34.02186895,-118.285857923125
Otto Porter Jr.,445,Georgetown University,38.90893925,-77.07457962060826
Patrick Beverley,568,University of Arkansas,36.09352375,-94.17708979491738
Patrick Christopher,6,University of California,37.875499649999995,-122.23906851395179
Patty Mills,351,Saint Mary's College of California,37.8409597,-122.109459
Paul George,53,"California State University, Fresno",36.820996300000004,-119.73729762569181
Paul Millsap,1218,Louisiana Tech University,32.5263599,-92.6478015444252
Paul Pierce,868,University of Kansas,38.953491799999995,-95.26308879955823
Perry Jones III,184,Baylor University,31.55043405,-97.1102905567766
Phil Pressey,177,University of Missouri,38.93641465,-92.32970301784542
PJ Hairston,254,University of North Carolina,35.90503535,-79.04775326525107
Quincy Acy,398,Baylor University,31.55043405,-97.1102905567766
Quincy Miller,29,Baylor University,31.55043405,-97.1102905567766
Quincy Pondexter,538,University of Washington,47.65566435,-122.30270718903485
Rajon Rondo,608,University of Kentucky,38.026629099999994,-84.50472223185739
Ramon Sessions,402,"University of Nevada, Reno",39.5442688,-119.81631051527071
Randy Foye,435,Villanova University,40.0367774,-75.34202332002798
Rasual Butler,580,La Salle University,40.0374268,-75.15402196552299
Ray McCallum,503,University of Detroit Mercy,42.41403185,-83.13786010722785
Raymond Felton,108,University of North Carolina,35.90503535,-79.04775326525107
Reggie Bullock,69,University of North Carolina,35.90503535,-79.04775326525107
Reggie Evans,176,University of Iowa,41.631102350000006,-91.54075201642047
Reggie Jackson,1117,Boston College,42.3354481,-71.16826648999114
Richard Jefferson,432,University of Arizona,32.23563985,-110.9517440773026
Robbie Hummel,198,Purdue University,40.430028,-86.92642114650494
Robert Covington,943,Tennessee State University,36.167944250000005,-86.82710485760109
Robin Lopez,566,Stanford University,37.431313849999995,-122.16936535498309
Rodney Hood,433,Duke University,36.00015569999999,-78.94422972195878
Rodney Stuckey,896,Eastern Washington University,47.4915232,-117.58586751653681
Ronnie Price,221,Utah Valley State College,40.27941055,-111.71788683218048
Roy Hibbert,802,Georgetown University,38.90893925,-77.07457962060826
Rudy Gay,1432,University of Connecticut,41.82175755,-72.24277535505323
Russ Smith,30,University of Louisville,38.21332235,-85.75770751081866
Ryan Anderson,833,University of California,37.875499649999995,-122.23906851395179
Ryan Hollins,137,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Ryan Kelly,332,Duke University,36.00015569999999,-78.94422972195878
Samuel Dalembert,128,Seton Hall University,40.7433314,-74.246892079833
Sean Kilpatrick,22,University of Cincinnati,39.1318613,-84.51576195582436
Seth Curry,0,Duke University,36.00015569999999,-78.94422972195878
Shabazz Muhammad,512,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Shane Larkin,470,University of Miami,25.71727245,-80.27870688083459
Shannon Brown,20,Michigan State University,42.70237935,-84.48038686520441
Shavlik Randolph,24,Duke University,36.00015569999999,-78.94422972195878
Shawn Marion,276,"University of Nevada, Las Vegas",36.099448100000004,-115.14422048990326
Shawne Williams,341,Western Michigan University,42.28333755,-85.60950673080742
Shelvin Mack,299,Butler University,39.8407191,-86.17374943464814
Sim Bhullar,2,New Mexico State University,32.2729032,-106.74349267153694
Solomon Hill,729,University of Arizona,32.23563985,-110.9517440773026
Spencer Dinwiddie,145,University of Colorado,40.00759835,-105.26910078017822
Spencer Hawes,425,University of Washington,47.65566435,-122.30270718903485
Stephen Curry,1900,Davidson College,35.5032193,-80.83393027613258
Steve Blake,350,University of Maryland,48.0989816,11.582348947691202
Steve Novak,63,Marquette University,43.03888115,-87.93158327046632
Steven Adams,537,University of Pittsburgh,40.44415295,-79.96246095144505
Taj Gibson,640,University of Southern California,34.02186895,-118.285857923125
Tarik Black,379,University of Kansas,38.953491799999995,-95.26308879955823
Tayshaun Prince,434,University of Kentucky,38.026629099999994,-84.50472223185739
Terrence Jones,386,University of Kentucky,38.026629099999994,-84.50472223185739
Terrence Ross,807,University of Washington,47.65566435,-122.30270718903485
Tim Duncan,1070,Wake Forest University,36.134335,-80.2781152
Tim Frazier,57,Pennsylvania State University,40.8025835,-77.85593833184565
Tim Hardaway Jr.,804,University of Michigan,42.2942142,-83.71003893509601
Tobias Harris,1164,University of Tennessee,35.9515612,-83.93087998929315
Toney Douglas,51,Florida State University,30.44235995,-84.29747867166262
Tony Allen,539,Oklahoma State University,36.128476750000004,-97.08398055028107
Tony Snell,435,University of New Mexico,35.08663275,-106.62020940505188
